Student_ID,Age,Gender,City,Course_Category,Enrollment_Type,Study_Hours_Per_Week,Live_Sessions_Attended,Assignments_Completed_Percent,Mock_Test_Score,Projects_Completed,Internship_Completed,LinkedIn_Profile,Resume_Score,Final_Score,Completion_Status,Placement_Status,Placement_Package_LPA,Satisfaction_Rating
20,33,Female,Pune,AI,Free,5,9,42,53,1,Yes,Yes,47,69,Not Completed,Placed,5.63,4
21,32,Male,Pune,Cyber Security,Free,5,2,47,26,0,Yes,Yes,35,36,Not Completed,Placed,11.65,2
22,32,Female,Hyderabad,Cyber Security,Free,18,1,78,54,0,No,Yes,58,80,Completed,Placed,10.58,4
23,29,Female,Delhi,Data Science,Free,10,14,72,63,3,No,No,72,66,Completed,Placed,4.2,3
24,20,Male,Hyderabad,Cloud Computing,Paid,20,2,86,62,4,Yes,Yes,83,88,Completed,Placed,14.1,4
25,22,Male,Mumbai,AI,Paid,6,7,49,48,4,Yes,Yes,91,57,Not Completed,Placed,9.7,3
26,24,Male,Bangalore,Web Development,Free,23,15,100,100,1,Yes,No,70,100,Completed,Placed,6.0,5
27,26,Female,Delhi,Cyber Security,Paid,25,5,67,99,1,Yes,No,53,81,Completed,Not Placed,0.0,2
28,24,Male,Chennai,Cyber Security,Paid,7,12,45,31,5,Yes,Yes,69,35,Not Completed,Not Placed,0.0,1
29,21,Male,Mumbai,AI,Free,4,13,18,52,3,No,Yes,39,59,Not Completed,Not Placed,0.0,4
30,31,Male,Delhi,Cloud Computing,Free,23,6,77,64,1,Yes,No,66,64,Completed,Not Placed,0.0,3
31,26,Male,Hyderabad,Cyber Security,Paid,2,11,15,42,3,Yes,Yes,57,32,Not Completed,Not Placed,0.0,2
32,19,Male,Hyderabad,AI,Paid,21,5,79,80,0,No,Yes,67,73,Completed,Placed,4.79,3
33,32,Female,Hyderabad,Data Science,Free,23,5,95,87,1,No,No,70,100,Completed,Placed,10.88,3
34,24,Female,Hyderabad,Cloud Computing,Free,17,15,75,96,0,No,Yes,46,70,Completed,Placed,12.42,5
35,29,Male,Chennai,Web Development,Paid,24,11,91,100,2,No,Yes,77,94,Completed,Placed,9.59,5
36,25,Male,Mumbai,Cyber Security,Free,12,15,63,72,3,No,Yes,68,62,Completed,Not Placed,0.0,3
37,32,Male,Pune,AI,Paid,14,2,69,65,2,No,Yes,72,63,Completed,Placed,14.26,2
38,20,Male,Bangalore,Data Science,Paid,28,11,100,100,1,Yes,No,81,83,Completed,Placed,10.66,4
39,31,Female,Chennai,Web Development,Free,11,12,35,67,0,No,Yes,32,56,Not Completed,Not Placed,0.0,3
40,34,Male,Chennai,AI,Paid,4,13,24,65,1,Yes,No,55,52,Not Completed,Placed,8.39,2
41,21,Female,Pune,AI,Paid,10,7,50,54,2,No,Yes,67,50,Not Completed,Placed,13.33,2
42,25,Female,Pune,Web Development,Free,29,11,100,100,1,No,Yes,68,100,Completed,Placed,4.57,5
43,21,Male,Bangalore,Data Science,Paid,13,6,45,56,5,No,Yes,84,70,Not Completed,Placed,6.91,4
44,19,Female,Bangalore,Data Science,Paid,24,6,91,73,4,No,No,91,87,Completed,Not Placed,0.0,3
45,23,Female,Pune,Cloud Computing,Paid,15,5,49,48,2,No,No,55,64,Not Completed,Not Placed,0.0,3
46,27,Female,Hyderabad,Cyber Security,Free,2,4,36,30,1,No,Yes,61,42,Not Completed,Not Placed,0.0,2
47,21,Female,Chennai,Web Development,Paid,19,9,79,76,0,No,Yes,56,77,Completed,Not Placed,0.0,4
48,29,Male,Delhi,Web Development,Paid,18,7,60,60,1,No,Yes,43,57,Completed,Not Placed,0.0,3
49,19,Male,Bangalore,Web Development,Free,28,4,90,81,0,No,No,45,66,Completed,Not Placed,0.0,5
50,27,Female,Bangalore,Data Science,Free,10,8,53,50,4,No,Yes,63,60,Completed,Not Placed,0.0,3
51,21,Male,Pune,Cyber Security,Free,10,8,63,45,1,No,Yes,58,59,Completed,Not Placed,0.0,3
52,31,Male,Mumbai,Cloud Computing,Paid,24,0,81,78,4,No,Yes,80,81,Completed,Placed,8.94,5
53,33,Male,Delhi,AI,Free,11,5,60,64,2,Yes,Yes,63,69,Completed,Placed,12.83,4
54,32,Male,Delhi,AI,Free,20,6,74,82,0,No,Yes,58,87,Completed,Not Placed,0.0,3
55,25,Male,Bangalore,Web Development,Paid,30,2,100,83,5,No,Yes,100,91,Completed,Placed,14.25,4
56,31,Female,Hyderabad,Cyber Security,Free,16,15,74,81,2,No,No,62,69,Completed,Placed,4.7,4
57,25,Male,Mumbai,Data Science,Free,6,6,39,33,0,No,Yes,21,37,Not Completed,Not Placed,0.0,2
58,33,Male,Delhi,Cyber Security,Free,16,10,49,76,4,No,Yes,89,71,Not Completed,Placed,6.39,5
59,30,Male,Bangalore,Cyber Security,Free,21,10,89,83,3,Yes,Yes,65,90,Completed,Not Placed,0.0,5
60,32,Male,Delhi,Data Science,Free,24,6,97,100,1,Yes,Yes,51,90,Completed,Placed,8.86,5
61,30,Female,Mumbai,Web Development,Paid,26,15,100,100,4,Yes,No,100,90,Completed,Placed,3.32,3
62,26,Female,Mumbai,Cyber Security,Free,29,13,100,100,0,Yes,Yes,70,100,Completed,Placed,11.5,5
63,32,Female,Chennai,AI,Free,3,12,20,49,0,No,Yes,32,47,Not Completed,Not Placed,0.0,2
64,30,Female,Pune,Data Science,Paid,14,10,72,78,0,No,Yes,48,73,Completed,Not Placed,0.0,3
65,18,Male,Pune,Cloud Computing,Paid,25,1,100,62,0,No,Yes,57,83,Completed,Not Placed,0.0,5
66,24,Female,Bangalore,Web Development,Paid,17,6,60,77,1,No,Yes,45,76,Completed,Not Placed,0.0,5
67,26,Male,Mumbai,Data Science,Paid,16,14,81,69,2,Yes,Yes,65,71,Completed,Placed,5.88,3
68,18,Male,Chennai,Cloud Computing,Free,26,0,99,66,5,Yes,Yes,99,78,Completed,Placed,6.16,2
69,29,Male,Chennai,Cloud Computing,Paid,11,4,54,31,3,No,No,51,48,Completed,Placed,7.06,2
70,25,Male,Delhi,Cyber Security,Paid,15,8,63,72,1,Yes,Yes,44,70,Completed,Not Placed,0.0,5
71,28,Male,Delhi,Cyber Security,Free,11,6,52,56,0,Yes,Yes,19,50,Completed,Not Placed,0.0,3
72,34,Female,Chennai,Cyber Security,Paid,26,6,100,78,1,No,No,68,76,Completed,Placed,5.49,2
73,25,Female,Delhi,Data Science,Free,15,10,75,60,4,Yes,Yes,82,74,Completed,Placed,14.11,4
74,20,Female,Mumbai,Data Science,Paid,27,12,100,100,5,No,Yes,100,83,Completed,Placed,5.59,4
75,20,Female,Hyderabad,Web Development,Free,24,11,93,88,0,Yes,Yes,60,82,Completed,Placed,6.07,3
76,18,Male,Mumbai,Cyber Security,Paid,10,1,58,34,3,Yes,Yes,61,60,Completed,Placed,6.56,2
77,22,Female,Chennai,Cloud Computing,Paid,26,7,89,100,0,Yes,Yes,53,94,Completed,Placed,12.22,5
78,27,Male,Chennai,AI,Paid,15,2,70,47,5,Yes,Yes,92,38,Completed,Placed,8.13,2
79,24,Female,Mumbai,Web Development,Free,4,14,30,67,3,No,No,58,55,Not Completed,Not Placed,0.0,1
80,26,Male,Delhi,Data Science,Paid,21,7,62,64,5,No,Yes,90,76,Completed,Placed,12.42,4
81,24,Male,Delhi,Web Development,Paid,17,2,55,54,3,No,Yes,69,52,Completed,Placed,14.15,3
82,26,Female,Pune,Web Development,Paid,3,9,22,49,2,No,Yes,42,41,Not Completed,Not Placed,0.0,2
83,25,Male,Chennai,Web Development,Paid,11,6,57,53,2,No,Yes,53,68,Completed,Placed,3.62,3
84,29,Male,Bangalore,Web Development,Paid,4,1,25,32,1,No,Yes,32,32,Not Completed,Not Placed,0.0,1
85,19,Female,Pune,AI,Paid,12,15,50,68,1,Yes,Yes,38,72,Not Completed,Placed,14.26,3
86,18,Male,Delhi,Cyber Security,Free,12,3,63,34,3,No,Yes,58,48,Completed,Not Placed,0.0,3
87,33,Female,Mumbai,Cloud Computing,Paid,22,10,80,98,0,No,No,70,98,Completed,Placed,4.5,5
88,22,Female,Delhi,Web Development,Free,22,5,99,69,4,No,Yes,92,85,Completed,Placed,10.36,5
89,20,Female,Mumbai,Web Development,Paid,23,10,100,88,4,No,No,90,86,Completed,Placed,5.39,4
90,29,Male,Pune,Web Development,Paid,14,8,62,71,0,Yes,No,39,76,Completed,Placed,6.15,5
91,25,Male,Chennai,Cyber Security,Paid,8,4,51,47,0,Yes,Yes,44,43,Not Completed,Placed,11.95,3
92,20,Male,Delhi,Data Science,Free,24,12,98,84,2,No,No,87,84,Completed,Placed,14.73,4
93,18,Female,Mumbai,Data Science,Paid,18,8,71,83,4,Yes,No,87,85,Completed,Placed,10.14,5
94,20,Male,Chennai,AI,Paid,3,14,37,59,3,Yes,Yes,68,58,Not Completed,Placed,13.21,3
95,22,Female,Bangalore,Data Science,Paid,13,4,69,55,5,Yes,No,81,71,Completed,Placed,3.11,3
96,32,Female,Mumbai,Web Development,Paid,26,9,88,91,1,Yes,Yes,63,82,Completed,Not Placed,0.0,5
97,31,Male,Pune,Web Development,Free,11,7,54,72,5,Yes,Yes,75,60,Completed,Not Placed,0.0,1
98,20,Female,Bangalore,Web Development,Paid,19,15,78,80,2,No,No,68,73,Completed,Placed,7.67,1
99,18,Male,Bangalore,AI,Paid,23,12,97,94,4,No,Yes,100,100,Completed,Placed,13.68,5
100,22,Male,Hyderabad,Web Development,Free,28,12,99,94,0,No,Yes,63,79,Completed,Not Placed,0.0,5
101,31,Male,Delhi,Data Science,Free,12,0,50,24,4,Yes,Yes,88,65,Not Completed,Placed,8.18,3
102,24,Male,Mumbai,Cyber Security,Paid,17,6,72,46,3,Yes,No,69,66,Completed,Placed,9.33,4
103,26,Male,Bangalore,Cyber Security,Paid,18,3,85,51,2,No,No,61,63,Completed,Not Placed,0.0,2
104,32,Female,Hyderabad,Cloud Computing,Paid,20,4,68,61,0,No,Yes,52,49,Completed,Not Placed,0.0,3
105,32,Female,Pune,Data Science,Paid,19,5,66,89,5,No,No,87,67,Completed,Placed,8.57,5
106,27,Female,Chennai,Web Development,Free,4,4,26,42,3,No,Yes,57,43,Not Completed,Placed,8.09,1
107,30,Male,Mumbai,Cyber Security,Free,22,11,82,93,5,Yes,Yes,94,86,Completed,Placed,13.2,5
108,24,Male,Bangalore,Data Science,Free,28,0,86,69,1,No,Yes,57,75,Completed,Not Placed,0.0,4
109,34,Male,Delhi,Cyber Security,Free,27,11,100,96,2,No,No,77,100,Completed,Placed,12.81,5
110,21,Female,Hyderabad,Web Development,Free,17,8,69,93,3,Yes,Yes,81,88,Completed,Not Placed,0.0,5
111,22,Male,Bangalore,Cyber Security,Free,7,1,38,23,3,No,Yes,69,43,Not Completed,Placed,5.19,2
112,24,Female,Delhi,Cloud Computing,Paid,26,8,100,92,5,No,No,95,100,Completed,Placed,14.41,5
113,30,Female,Bangalore,Cloud Computing,Paid,13,9,66,80,0,Yes,No,48,72,Completed,Placed,13.11,2
114,32,Male,Mumbai,Cyber Security,Paid,12,1,50,55,1,Yes,Yes,62,72,Not Completed,Placed,7.65,4
115,28,Male,Mumbai,Data Science,Paid,16,8,69,86,5,Yes,Yes,82,76,Completed,Placed,10.66,5
116,21,Female,Mumbai,Data Science,Paid,16,5,67,64,3,No,No,64,59,Completed,Placed,14.32,2
117,30,Male,Pune,Data Science,Free,17,10,85,80,2,Yes,No,77,66,Completed,Not Placed,0.0,3
118,24,Female,Pune,Cyber Security,Free,11,8,51,59,3,Yes,Yes,70,62,Completed,Not Placed,0.0,4
119,19,Male,Hyderabad,Data Science,Free,13,12,44,75,4,Yes,No,61,55,Not Completed,Placed,9.45,3
120,27,Male,Mumbai,Web Development,Free,29,5,88,78,2,No,No,57,69,Completed,Placed,4.71,2
121,30,Female,Delhi,Cloud Computing,Paid,14,5,76,65,2,No,No,68,80,Completed,Not Placed,0.0,4
122,23,Male,Bangalore,Web Development,Free,5,12,27,56,3,No,No,50,36,Not Completed,Not Placed,0.0,1
123,29,Female,Chennai,Data Science,Free,8,10,50,56,0,Yes,Yes,23,52,Not Completed,Placed,3.09,2
124,29,Male,Delhi,Web Development,Free,23,13,89,100,2,No,Yes,64,88,Completed,Not Placed,0.0,5
125,28,Female,Pune,Data Science,Paid,3,1,24,25,4,No,Yes,67,41,Not Completed,Placed,9.2,2
126,24,Female,Pune,Cyber Security,Paid,27,7,98,100,5,No,Yes,97,100,Completed,Placed,9.71,5
127,18,Male,Delhi,Web Development,Paid,28,2,100,93,0,No,No,75,85,Completed,Placed,11.06,3
128,18,Female,Pune,Cyber Security,Free,28,6,89,96,0,No,No,34,92,Completed,Not Placed,0.0,5
129,30,Male,Mumbai,Cyber Security,Paid,28,4,100,74,0,No,Yes,73,70,Completed,Placed,4.39,5
130,26,Male,Hyderabad,AI,Paid,16,2,77,59,2,Yes,Yes,63,74,Completed,Not Placed,0.0,3
131,20,Male,Bangalore,Data Science,Paid,9,0,34,57,0,No,Yes,28,60,Not Completed,Not Placed,0.0,3
132,24,Female,Hyderabad,Cloud Computing,Paid,8,7,57,31,3,No,Yes,51,17,Not Completed,Not Placed,0.0,1
133,23,Female,Bangalore,Data Science,Free,16,2,76,54,0,No,Yes,55,65,Completed,Not Placed,0.0,2
134,25,Male,Bangalore,Cloud Computing,Paid,24,1,94,81,4,No,Yes,71,83,Completed,Placed,14.76,4
135,26,Male,Hyderabad,Data Science,Paid,15,15,59,78,1,No,Yes,59,71,Completed,Not Placed,0.0,3
136,22,Female,Delhi,Cyber Security,Free,9,0,32,46,4,Yes,Yes,49,61,Not Completed,Not Placed,0.0,2
137,18,Male,Bangalore,Web Development,Paid,29,3,100,98,2,Yes,Yes,62,85,Completed,Not Placed,0.0,4
138,27,Male,Hyderabad,Web Development,Paid,13,12,86,72,0,No,No,42,63,Completed,Not Placed,0.0,3
139,29,Female,Bangalore,AI,Free,14,7,63,67,0,No,Yes,38,63,Completed,Not Placed,0.0,4
140,32,Male,Chennai,Cloud Computing,Paid,12,12,37,68,3,Yes,Yes,68,70,Not Completed,Placed,4.5,3
141,26,Female,Delhi,Cloud Computing,Paid,18,2,78,62,5,Yes,Yes,100,82,Completed,Placed,4.63,4
142,34,Male,Mumbai,Cloud Computing,Paid,30,13,100,100,0,No,Yes,53,90,Completed,Placed,12.87,4
143,34,Female,Bangalore,Cyber Security,Free,18,0,64,55,4,No,No,77,64,Completed,Placed,14.06,3
144,29,Male,Chennai,Cloud Computing,Paid,25,3,88,72,2,No,Yes,76,64,Completed,Not Placed,0.0,3
145,24,Male,Mumbai,Web Development,Free,5,8,27,56,1,No,No,35,52,Not Completed,Not Placed,0.0,2
146,19,Female,Mumbai,Cyber Security,Paid,22,12,80,79,0,No,Yes,56,82,Completed,Placed,7.94,4
147,20,Male,Bangalore,Data Science,Free,9,0,45,31,1,No,Yes,45,39,Not Completed,Not Placed,0.0,2
148,34,Female,Hyderabad,Cloud Computing,Paid,6,11,29,47,0,No,Yes,29,39,Not Completed,Not Placed,0.0,3
149,22,Male,Bangalore,Cloud Computing,Paid,27,13,88,97,2,No,No,57,78,Completed,Placed,5.53,2
150,34,Female,Chennai,Data Science,Paid,17,10,72,71,5,No,Yes,90,84,Completed,Placed,6.39,5
151,34,Female,Mumbai,Cloud Computing,Paid,5,1,33,38,4,No,No,74,46,Not Completed,Placed,9.11,2
152,34,Female,Bangalore,Data Science,Paid,29,8,100,90,2,No,Yes,68,88,Completed,Placed,9.13,4
153,19,Female,Hyderabad,Cyber Security,Paid,23,15,89,100,1,No,Yes,43,90,Completed,Not Placed,0.0,4
154,19,Male,Bangalore,Web Development,Free,30,1,94,90,0,Yes,No,54,87,Completed,Not Placed,0.0,5
155,22,Male,Delhi,Data Science,Paid,16,12,70,69,1,Yes,No,71,77,Completed,Not Placed,0.0,3
156,18,Female,Hyderabad,AI,Free,13,2,54,58,4,Yes,Yes,85,67,Completed,Not Placed,0.0,3
157,18,Female,Chennai,Data Science,Paid,6,6,40,53,2,Yes,Yes,46,53,Not Completed,Placed,6.05,3
158,19,Female,Mumbai,Cloud Computing,Free,24,2,95,54,1,Yes,Yes,70,75,Completed,Not Placed,0.0,2
159,29,Male,Bangalore,Cyber Security,Paid,17,8,82,72,1,Yes,Yes,66,80,Completed,Placed,9.01,4
160,23,Male,Hyderabad,Cyber Security,Paid,15,15,66,74,4,No,No,93,82,Completed,Placed,3.17,3
161,21,Male,Delhi,Data Science,Paid,11,5,63,65,0,No,Yes,29,50,Completed,Not Placed,0.0,1
162,28,Male,Hyderabad,Web Development,Free,8,2,40,34,1,Yes,Yes,33,37,Not Completed,Not Placed,0.0,1
163,34,Female,Pune,AI,Paid,14,8,59,50,4,No,No,55,57,Completed,Placed,6.87,4
164,23,Female,Delhi,Cyber Security,Paid,21,0,82,61,0,No,No,46,71,Completed,Placed,9.83,4
165,22,Female,Chennai,Cloud Computing,Paid,29,9,100,87,5,No,Yes,100,100,Completed,Placed,9.21,4
166,19,Male,Mumbai,Cloud Computing,Free,30,2,100,92,0,No,No,54,81,Completed,Placed,10.85,4
167,23,Male,Chennai,Web Development,Paid,6,0,39,23,5,Yes,Yes,62,50,Not Completed,Not Placed,0.0,1
168,28,Male,Bangalore,Cyber Security,Paid,30,1,97,81,2,Yes,Yes,77,82,Completed,Placed,5.75,4
169,33,Female,Hyderabad,Data Science,Paid,4,15,38,73,4,No,No,69,75,Not Completed,Placed,5.41,4
170,33,Female,Pune,Cloud Computing,Paid,16,11,59,84,0,Yes,Yes,33,83,Completed,Not Placed,0.0,4
171,18,Male,Delhi,Web Development,Paid,5,7,25,48,5,No,Yes,64,35,Not Completed,Not Placed,0.0,2
172,26,Female,Delhi,Cyber Security,Free,16,6,56,62,5,No,Yes,83,65,Completed,Placed,6.37,1
173,23,Male,Hyderabad,Cyber Security,Free,15,1,64,55,2,Yes,No,69,46,Completed,Placed,7.96,3
174,33,Male,Pune,Cyber Security,Free,21,1,95,70,3,Yes,Yes,75,67,Completed,Placed,4.67,2
175,20,Female,Hyderabad,Cyber Security,Free,20,8,70,66,4,Yes,Yes,72,58,Completed,Not Placed,0.0,3
176,21,Male,Bangalore,Cyber Security,Paid,14,12,78,80,3,No,Yes,94,89,Completed,Not Placed,0.0,4
177,20,Female,Chennai,Cloud Computing,Paid,11,12,62,54,0,No,Yes,42,62,Completed,Not Placed,0.0,4
178,24,Male,Delhi,Web Development,Free,22,5,71,79,4,Yes,Yes,82,85,Completed,Placed,11.54,4
179,26,Female,Bangalore,Cyber Security,Paid,6,4,34,28,2,Yes,No,56,47,Not Completed,Placed,4.77,3
180,18,Female,Chennai,AI,Free,28,9,93,100,0,Yes,Yes,39,89,Completed,Placed,8.47,3
181,25,Female,Bangalore,AI,Paid,24,5,98,85,4,Yes,Yes,91,92,Completed,Placed,3.46,5
182,24,Male,Pune,Web Development,Paid,21,15,73,76,4,No,Yes,64,74,Completed,Placed,3.21,2
183,25,Male,Delhi,Data Science,Free,30,8,93,95,3,Yes,Yes,79,99,Completed,Placed,8.28,5
184,18,Female,Hyderabad,Data Science,Free,21,15,79,86,0,No,No,65,81,Completed,Not Placed,0.0,5
185,28,Female,Hyderabad,Data Science,Paid,26,10,100,85,2,No,Yes,66,91,Completed,Placed,11.2,4
186,27,Male,Chennai,AI,Free,7,6,39,47,2,Yes,Yes,34,28,Not Completed,Not Placed,0.0,2
187,20,Male,Mumbai,Data Science,Paid,5,14,38,48,0,No,Yes,54,41,Not Completed,Not Placed,0.0,2
188,24,Male,Pune,Cloud Computing,Paid,3,9,33,51,0,No,Yes,21,52,Not Completed,Not Placed,0.0,1
189,33,Female,Chennai,Cyber Security,Paid,23,9,73,91,5,No,Yes,74,77,Completed,Placed,3.58,3
190,33,Male,Mumbai,AI,Free,17,13,62,83,1,No,No,68,64,Completed,Not Placed,0.0,2
191,34,Male,Bangalore,Web Development,Paid,19,8,77,73,3,No,Yes,62,79,Completed,Placed,6.28,5
192,19,Female,Pune,Web Development,Paid,6,3,32,44,0,No,No,49,47,Not Completed,Not Placed,0.0,3
193,18,Male,Bangalore,Cyber Security,Paid,23,1,100,75,0,Yes,Yes,62,79,Completed,Placed,4.92,4
194,33,Male,Delhi,AI,Free,5,11,22,56,1,No,Yes,49,60,Not Completed,Placed,4.17,4
195,29,Male,Pune,Data Science,Paid,14,7,52,48,1,No,Yes,50,65,Completed,Not Placed,0.0,3
196,22,Female,Mumbai,Data Science,Paid,20,3,82,58,4,No,No,95,75,Completed,Placed,11.64,4
197,22,Female,Delhi,Cloud Computing,Paid,24,12,85,89,2,No,Yes,60,88,Completed,Not Placed,0.0,3
198,26,Female,Hyderabad,Cloud Computing,Free,3,8,0,27,3,No,Yes,37,10,Not Completed,Not Placed,0.0,2
199,26,Female,Mumbai,Data Science,Paid,14,14,81,78,4,No,Yes,63,86,Completed,Not Placed,0.0,4
200,20,Female,Chennai,Web Development,Free,12,14,45,86,0,Yes,No,47,58,Not Completed,Not Placed,0.0,2
201,33,Female,Hyderabad,Web Development,Paid,23,3,94,84,1,No,Yes,69,73,Completed,Not Placed,0.0,4
202,33,Female,Hyderabad,Cloud Computing,Paid,30,14,97,100,5,No,Yes,88,82,Completed,Placed,3.58,4
203,20,Male,Chennai,Cyber Security,Paid,5,7,26,51,2,No,No,28,28,Not Completed,Not Placed,0.0,1
204,18,Male,Pune,Data Science,Paid,23,8,72,100,4,No,No,83,96,Completed,Placed,9.99,5
205,28,Female,Hyderabad,Cloud Computing,Paid,21,12,75,94,5,No,Yes,100,95,Completed,Placed,5.38,4
206,34,Male,Mumbai,Cloud Computing,Paid,21,8,76,87,2,No,Yes,65,74,Completed,Placed,3.59,5
207,25,Male,Delhi,Data Science,Free,16,9,66,55,5,Yes,Yes,79,74,Completed,Placed,4.3,3
208,21,Female,Hyderabad,Data Science,Paid,5,3,31,49,1,No,Yes,31,40,Not Completed,Placed,9.3,2
209,23,Male,Mumbai,Web Development,Paid,10,0,35,43,4,No,No,78,55,Not Completed,Not Placed,0.0,5
210,25,Male,Bangalore,Cyber Security,Paid,8,15,38,65,4,No,Yes,59,55,Not Completed,Placed,7.02,2
211,20,Male,Mumbai,Cyber Security,Free,20,14,94,84,2,No,No,69,84,Completed,Placed,7.55,5
212,33,Male,Delhi,Data Science,Paid,20,2,93,58,5,No,Yes,100,73,Completed,Not Placed,0.0,3
213,20,Male,Mumbai,AI,Paid,7,8,45,62,1,Yes,Yes,52,52,Not Completed,Not Placed,0.0,2
214,31,Female,Chennai,Cloud Computing,Free,7,3,47,39,0,Yes,Yes,35,51,Not Completed,Not Placed,0.0,2
215,19,Female,Delhi,Cloud Computing,Paid,21,4,100,64,4,No,No,85,88,Completed,Placed,7.12,5
216,20,Female,Pune,Data Science,Free,16,6,73,56,0,Yes,Yes,63,63,Completed,Not Placed,0.0,4
217,33,Male,Bangalore,AI,Free,16,4,74,61,1,Yes,Yes,46,53,Completed,Placed,10.51,3
218,26,Female,Chennai,Web Development,Free,26,3,82,74,4,Yes,Yes,82,100,Completed,Placed,7.99,3
219,21,Male,Pune,Data Science,Free,21,14,71,84,4,No,No,65,78,Completed,Placed,14.58,5
220,18,Male,Mumbai,Data Science,Paid,10,1,49,28,5,Yes,No,91,56,Not Completed,Placed,11.82,3
221,21,Male,Delhi,Cloud Computing,Free,5,14,26,67,0,No,Yes,25,39,Not Completed,Placed,3.74,1
222,18,Male,Bangalore,Data Science,Paid,19,1,67,58,5,No,Yes,79,78,Completed,Placed,11.94,4
223,31,Female,Chennai,Data Science,Free,19,12,68,71,3,No,No,77,85,Completed,Placed,3.29,5
224,33,Female,Pune,Data Science,Paid,6,12,23,53,0,No,No,14,27,Not Completed,Not Placed,0.0,1
225,25,Male,Pune,Cloud Computing,Paid,21,3,75,73,0,Yes,Yes,56,72,Completed,Not Placed,0.0,5
226,24,Female,Bangalore,Web Development,Free,24,9,95,86,3,No,Yes,78,87,Completed,Placed,11.36,5
227,20,Male,Mumbai,Web Development,Free,12,12,73,69,1,No,Yes,45,87,Completed,Placed,6.72,5
228,34,Female,Bangalore,Data Science,Paid,6,9,45,50,1,No,Yes,36,62,Not Completed,Placed,13.48,3
229,18,Female,Pune,Cloud Computing,Free,23,12,95,77,4,No,No,83,74,Completed,Placed,7.04,5
230,33,Male,Hyderabad,Web Development,Paid,27,14,84,100,2,No,Yes,65,82,Completed,Not Placed,0.0,5
231,29,Female,Chennai,Web Development,Free,5,8,36,28,5,Yes,Yes,62,37,Not Completed,Placed,6.43,3
232,31,Male,Bangalore,Web Development,Paid,30,7,100,98,2,Yes,Yes,78,97,Completed,Placed,14.01,5
233,23,Female,Pune,Cloud Computing,Free,13,2,61,56,4,No,No,64,76,Completed,Not Placed,0.0,5
234,23,Male,Mumbai,Cloud Computing,Paid,3,15,25,53,2,No,Yes,22,43,Not Completed,Not Placed,0.0,3
235,30,Male,Pune,Data Science,Free,14,14,78,79,0,Yes,Yes,70,83,Completed,Not Placed,0.0,3
236,25,Female,Mumbai,Cyber Security,Paid,11,13,53,65,0,No,Yes,43,55,Completed,Not Placed,0.0,2
237,19,Female,Bangalore,Web Development,Free,10,15,51,73,3,No,Yes,84,75,Completed,Placed,10.82,3
238,18,Male,Mumbai,Cyber Security,Paid,11,8,33,67,3,Yes,Yes,46,52,Not Completed,Placed,11.91,1
